participant_ID,full_clip_name,clip_label,genre_code,familiarity_M17,stimulus_group,age_group,country_code,thought_or_not_response.keys,have_thought_input.text,rating_Q1_music_related.response,rating_Q2_spontaneous.response,rating_Q3_reality.response,no_thought_input.text,general_rating_Q1_familiarity.response,general_rating_Q2_enjoy.response,banana_attnCheck.text,demographics.headphones,demographics.age,demographics.livingCountry,demographics.birthCountry,demographics.nativeLanguage,demographics.otherLanguage,demographics.otherLanguageText,demographics.gender,demographics.hearingImpariments,demographics.hearingImpairmentsText,demographics.education,demographics.musicianIdentification,demographics.feedback
1,60s_L_11_new-clip_60s_MED_Through_with_You.mp3,60s_L_11,60s,L,11,18to30,UK,y,i imagined myself in a western riding a horse into the desert,5,4,2,NA,1,4,banana,TRUE,30,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
1,Amb_L_11_new-clip_Ambient_MED_The_Stargazers_Journey.mp3,Amb_L_11,Amb,L,11,18to30,UK,y,I imagined myself scuba diving in the ocean being surrounded by sea creatures ,5,4,4,NA,1,3,banana,TRUE,30,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
1,Cla_L_11_new-clip_Classical_MED_Elf_kurze_Stücke-_No._4_in_A_Minor.mp3,Cla_L_11,Cla,L,11,18to30,UK,y,i imagined myself sat in a dark theatre watching somebody alone on stage playing the piano,5,4,2,NA,1,4,banana,TRUE,30,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
1,Ele_L_11_new-clip_Electronic_LOW_El_Orden_del_Universo.mp3,Ele_L_11,Ele,L,11,18to30,UK,y,I thought of the tv series stranger things and imagined a mystery scene,5,3,4,NA,2,4,banana,TRUE,30,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
1,Fil_H_11_new-clip_Film_HIGH_The_Avengers_-_From__The_Avengers__Score.mp3,Fil_H_11,Fil,H,11,18to30,UK,y,I imagined the Marvel films with characters getting ready to go to battle,5,3,1,NA,4,4,banana,TRUE,30,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
1,Jaz_H_11_new-clip_Jazz_HIGH_Fly_Me_To_The_Moon_-_2008_Remastered.mp3,Jaz_H_11,Jaz,H,11,18to30,UK,y,I imagined myself sat in a dark smoky jazz club drinking whisky alone,5,2,1,NA,1,4,banana,TRUE,30,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
1,Met_H_11_new-clip_Metal_HIGH_Killing_In_The_Name.mp3,Met_H_11,Met,H,11,18to30,UK,y,I imagined a scene in which i was working hard in the gym and another racing a car,4,3,4,NA,4,4,banana,TRUE,30,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
1,Pop_H_11_new-clip_Pop_HIGH_ocean_eyes.mp3,Pop_H_11,Pop,H,11,18to30,UK,y,I imagined myself driving a long distance home in the dark on the motorway,4,4,2,NA,4,4,banana,TRUE,30,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
1,80s_L_11_new-clip_80s_MED_Your_Love_Drives_Me_Crazy.mp3,80s_L_11,80s,L,11,18to30,UK,n,NA,NA,NA,NA,The music didnt really get going and it was quite a subdued piece of music and no thoughts came to mind,1,3,banana,TRUE,30,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
1,Fun_H_11_new-clip_Funk_HIGH_Smiley_Faces.mp3,Fun_H_11,Fun,H,11,18to30,UK,n,NA,NA,NA,NA,The music didnt prompt any past memories of hearing similar music and didnt really inspire me to think of anything,1,2,banana,TRUE,30,United Kingdom,United Kingdom,english,FALSE,NA,Male,FALSE,NA,3,2,NA
