Document name,Created by,Created,Modified by,Modified,Coded Segments,Words,Characters,participant_ID,full_clip_name,excerpt_label_final,genre_code,familiarity_specific_level,age_group,country_code,thought_or_not_response.keys,rating_Q1_music_related.response,rating_Q2_spontaneous.response,invalid,rating_Q3_reality.response,general_rating_Q1_familiarity.response,[Natural World],general_rating_Q2_enjoy.response,demographics.headphones,Creatures,demographics.age,demographics.livingCountry,Terrains,demographics.birthCountry,demographics.nativeLanguage,Sky and Space,demographics.otherLanguage,demographics.otherLanguageText,Vegetation,demographics.gender,demographics.hearingImpariments,Water Features,demographics.hearingImpairmentsText,demographics.education,Weather,demographics.musicianIdentification,Fictional and Spiritual Settings,Scene Qualities,Societal Places,Spatial Orientation,Named Regional Places,[Characters],NARRATIONAL,[Character Descriptors],[Settings],[Outfit Details],Accessories,Hair,Outfit Descriptors,Identity,Professions and Pursuits,Music-related Professions and Pursuits,Relations,Archetypes,Social Collectives,Traits,[Named Figures],Creators,Fictional Characters,Historical and Mythical Figures,Performers and Entertainers,[Social Presence],Solitude,Dyads,Groups,Body Parts,[Objects & Things],Consumables,Everyday Objects,Transport,Commerce and Organisations,Materials and Surfaces,Object Qualities,[Actions],[Agentic Actions],Directed Movement,Daily life,Music-linked Movement,Sports,Creating and Performing,Relational and Social,Consuming,Conflict and Wrongdoing,[Processes and States],Perceptual acts,Non-directional Motions,Rest and Leisure,Transforming and Learning,Waiting and Anticipating,[Action Modifiers],Speed,Characterisation,REFERENTIAL,[Music & Sounds],"Instruments, Ensembles, and Imitations",Music Use and Function,Sound Qualities,"Music Genre, Cultural, and Stylistic Labels",Technical and Structural Music Elements,Playback and Listening Devices,Named Artists and Musicians,Named Songs and Lyrics,Sounds and Sound Effects,"[Media, Art, & Technology]",Media Formats,Media Genres and Styles,Media Packaging Structures,Media Techniques and Effects,Music and Sound in Media,Media Companies and Devices,Digital Platforms and Applications,Named Media References,[Chronology & Events],Events and Occasions,Historical Events and Periods,Narrative Progression,Passage and Repetition of Time,Seasons and Time,EXPERIENTIAL,[Symbolic & Sensory Representations],[Sensory Details],[Visual Details],Colour,Illumination,Text,Vantage Point,"Oddities, Effects, Shapes, Patterns",Smell,Bodily Sensation,Conceptual and Metaphorical References,[Subjective & Personal Experience],Emotions and Affective States,Opinions and Preferences,Personal Significance,Personal Time-linked Connections
1066 (9),hazelaileenvanderwalle,10/12/2025 12:05:39,hazelaileenvanderwalle,08/05/2026 12:07:59,2,3,8,1066,Ele_L_12_new-clip_Electronic_MED_Looped.mp3,Ele_L_12,Ele,L,18to30,US,0,0,0,2,0,1,0,1,1,0,30,United States,0,United States,english,0,,NA,0,Female,0,0,NA,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65 (3),hazelaileenvanderwalle,10/12/2025 12:05:40,hazelaileenvanderwalle,08/05/2026 12:07:59,2,2,7,65,Ele_L_07_new-clip_Electronic_LOW_Memoria.mp3,Ele_L_07,Ele,L,18to30,UK,0,0,0,2,0,1,0,2,1,0,21,United Kingdom,0,United Kingdom,punjabi,0,,english,0,Female,0,0,NA,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1325,hazelaileenvanderwalle,10/12/2025 12:09:10,hazelaileenvanderwalle,08/05/2026 12:07:59,2,2,7,1325,Fil_H_10_new-clip_Film_HIGH_Main_Theme_-From__The_Dark_Knight_R,Fil_H_10,Fil,H,18to30,US,0,0,0,2,0,4,0,5,1,0,29,United States,0,United States,english,0,,NA,0,Female,0,0,NA,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101 (8),hazelaileenvanderwalle,10/12/2025 12:29:18,hazelaileenvanderwalle,08/05/2026 12:07:59,2,3,8,101,80s_L_12_new-clip_80s_MED_Une_autre_histoire.mp3,80s_L_12,80s,L,18to30,UK,0,0,0,2,0,2,0,3,1,0,23,United Kingdom,0,United Kingdom,English,0,,Persian and Kurdish,0,Male,0,0,NA,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406 (4),hazelaileenvanderwalle,10/12/2025 12:05:04,hazelaileenvanderwalle,08/05/2026 12:07:59,2,2,7,406,Cla_H_06_new-clip_Classical_HIGH_Nocturne_No._2_in_E-Flat_Major,Cla_H_06,Cla,H,31to45,UK,0,4,3,2,3,2,0,4,1,0,39,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,0,0,NA,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1308 (9),hazelaileenvanderwalle,10/12/2025 12:05:16,hazelaileenvanderwalle,08/05/2026 12:07:59,2,2,7,1308,Met_L_03_new-clip_Metal_LOW_Viaje_Por_Existir.mp3,Met_L_03,Met,L,31to45,US,0,5,4,2,2,2,0,3,1,0,37,United States,0,United States,English,0,,NA,0,Male,0,0,NA,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1269 (9),hazelaileenvanderwalle,10/12/2025 12:07:17,hazelaileenvanderwalle,08/05/2026 12:07:59,2,2,7,1269,60s_L_12_new-clip_60s_LOW_Rumpus.mp3,60s_L_12,60s,L,31to45,US,0,0,0,2,0,3,0,3,1,0,40,United States,0,United States,English,0,,NA,0,Female,0,0,NA,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539 (2),hazelaileenvanderwalle,10/12/2025 12:05:21,hazelaileenvanderwalle,08/05/2026 12:07:59,2,2,7,539,Fil_L_04_new-clip_Film_LOW_Where_Is_My_Dad.mp3,Fil_L_04,Fil,L,46to60,UK,0,0,0,2,0,1,0,2,1,0,52,United Kingdom,0,United Kingdom,English,0,,NA,0,Male,1,0,deaf in left ear.,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1437 (9),hazelaileenvanderwalle,10/12/2025 12:09:49,hazelaileenvanderwalle,08/05/2026 12:07:59,2,2,7,1437,80s_L_12_new-clip_80s_MED_Une_autre_histoire.mp3,80s_L_12,80s,L,46to60,US,0,0,0,2,0,1,0,2,1,0,47,United States,0,United States,English,0,,NA,0,Female,0,0,NA,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780 (5),hazelaileenvanderwalle,10/12/2025 12:06:32,hazelaileenvanderwalle,08/05/2026 12:07:59,2,2,7,1780,Cla_L_08_new-clip_Classical_MED_The_Gardens_Light.mp3,Cla_L_08,Cla,L,61to75,US,0,0,0,2,0,1,0,4,1,0,62,United States,0,United States,English,0,,None,0,Male,0,0,NA,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
