full_clip_name,excerpt_label_final,genre_code,familiarity_specific_level,song_batch,no_thought_rate,creation_time_accuracy,familiarity_specific_rated
60s_H_01_new-clip_60s_HIGH_Summer_in_the_City_-_Remastered.mp3,60s_H_01,60s,H,1,0.147058824,0.264705882,3.235294118
80s_H_01_new-clip_80s_HIGH_Take_on_Me.mp3,80s_H_01,80s,H,1,0.052631579,0.631578947,4.368421053
Amb_H_01_new-clip_Ambient_HIGH_A_Walk.mp3,Amb_H_01,Amb,H,1,0.125,NA,1.71875
"Cla_H_01_new-clip_Classical_HIGH_Tchaikovsky-_Swan_Lake,_Op._20,_Act_2-_No._10,_Scene._Moderato.mp3",Cla_H_01,Cla,H,1,0.029411765,NA,3.764705882
Ele_H_01_new-clip_Electronic_LOW_Simplicity.mp3,Ele_H_01,Ele,H,1,0.15625,NA,1.71875
Fil_L_01_new-clip_Film_MED_Tinker_Tailor_Soldier_Spy.mp3,Fil_L_01,Fil,L,1,0.1875,NA,1.625
Fun_L_01_new-clip_Funk_LOW_Make_Some_Noise.mp3,Fun_L_01,Fun,L,1,0.15625,NA,1.375
Jaz_L_01_new-clip_Jazz_LOW_London_in_July.mp3,Jaz_L_01,Jaz,L,1,0.193548387,NA,1.387096774
Met_L_01_new-clip_Metal_LOW_Endzeit.mp3,Met_L_01,Met,L,1,0.09375,NA,1.4375
Pop_L_01_new-clip_Pop_MED_Thank_You.mp3,Pop_L_01,Pop,L,1,0.09375,NA,1.4375
"60s_H_02_new-clip_60s_LOW_Walk,_Dont_Run_-_Stereo.mp3",60s_H_02,60s,H,2,0.0625,0.40625,2.8125
80s_H_02_new-clip_80s_HIGH_Maneater.mp3,80s_H_02,80s,H,2,0,0.628571429,3.771428571
Amb_H_02_new-clip_Ambient_LOW_Value_Kit.mp3,Amb_H_02,Amb,H,2,0.15625,NA,1.65625
Cla_H_02_new-clip_Classical_HIGH_Gymnopédie_No._1.mp3,Cla_H_02,Cla,H,2,0.147058824,NA,3.705882353
Ele_H_02_new-clip_Electronic_LOW_Expansion.mp3,Ele_H_02,Ele,H,2,0.131578947,NA,1.605263158
Fil_L_02_new-clip_Film_MED_Bob_Wakes_Up.mp3,Fil_L_02,Fil,L,2,0.03125,NA,1.59375
Fun_L_02_new-clip_Funk_LOW_Shes_Gotta_Be.mp3,Fun_L_02,Fun,L,2,0.125,NA,1.34375
Jaz_L_02_new-clip_Jazz_MED_Turiya_and_Ramakrishna.mp3,Jaz_L_02,Jaz,L,2,0.142857143,NA,1.371428571
Met_L_02_new-clip_Metal_MED_OptiMystic.mp3,Met_L_02,Met,L,2,0.193548387,NA,1.258064516
Pop_L_02_new-clip_Pop_MED_weekends.mp3,Pop_L_02,Pop,L,2,0.125,NA,1.1875
60s_H_03_new-clip_60s_HIGH_Crimson_and_Clover_-Single_Version-.mp3,60s_H_03,60s,H,3,0.088235294,0.323529412,2.411764706
80s_H_03_new-clip_80s_HIGH_Total_Eclipse_of_the_Heart.mp3,80s_H_03,80s,H,3,0.033333333,0.733333333,3.733333333
Amb_H_03_new-clip_Ambient_MED_Study_Music_-Concentrate-.mp3,Amb_H_03,Amb,H,3,0.176470588,NA,1.617647059
"Cla_H_03_new-clip_Classical_HIGH_Cello_Suite_No._1_in_G_Major,_BWV_1007-_I._Prélude.mp3",Cla_H_03,Cla,H,3,0.058823529,NA,3.5
Ele_H_03_new-clip_Electronic_HIGH_One_More_Time.mp3,Ele_H_03,Ele,H,3,0.117647059,NA,3.058823529
Fil_L_03_new-clip_Film_MED_The_world_is_amazed_-_Main_Title_Theme.mp3,Fil_L_03,Fil,L,3,0.0625,NA,1.5625
Fun_L_03_new-clip_Funk_HIGH_Them_Changes.mp3,Fun_L_03,Fun,L,3,0.171428571,NA,1.314285714
Jaz_L_03_new-clip_Jazz_LOW_Ainda_Mais_Amor.mp3,Jaz_L_03,Jaz,L,3,0.171428571,NA,1.342857143
Met_L_03_new-clip_Metal_LOW_Viaje_Por_Existir.mp3,Met_L_03,Met,L,3,0.15625,NA,1.21875
Pop_L_03_new-clip_Pop_MED_You_Belong_to_Me.mp3,Pop_L_03,Pop,L,3,0.0625,NA,1.625
60s_H_04_new-clip_60s_HIGH_Im_A_Man_-_Remastered_2010.mp3,60s_H_04,60s,H,4,0.176470588,0.235294118,1.852941176
80s_H_04_new-clip_80s_HIGH_Sometimes.mp3,80s_H_04,80s,H,4,0.064516129,0.612903226,2.35483871
Amb_H_04_new-clip_Ambient_MED_Holding_On.mp3,Amb_H_04,Amb,H,4,0.088235294,NA,1.529411765
Cla_H_04_new-clip_Classical_HIGH_Spring_-La_Primavera-_Op.8_No.1_E_Major-_Allegro.mp3,Cla_H_04,Cla,H,4,0.058823529,NA,4.470588235
Ele_H_04_new-clip_Electronic_HIGH_Outside_-feat._Ellie_Goulding-.mp3,Ele_H_04,Ele,H,4,0.147058824,NA,2.764705882
Fil_L_04_new-clip_Film_LOW_Where_Is_My_Dad.mp3,Fil_L_04,Fil,L,4,0.085714286,NA,1.485714286
Fun_L_04_new-clip_Funk_MED_Mighty_and_High.mp3,Fun_L_04,Fun,L,4,0.2,NA,1.3
Jaz_L_04_new-clip_Jazz_LOW_Sembellogy.mp3,Jaz_L_04,Jaz,L,4,0.133333333,NA,1.333333333
Met_L_04_new-clip_Metal_MED_Thunderhorse.mp3,Met_L_04,Met,L,4,0.066666667,NA,1.6
Pop_L_04_new-clip_Pop_HIGH_Break_the_Rules.mp3,Pop_L_04,Pop,L,4,0.142857143,NA,1.6
60s_H_05_new-clip_60s_MED_Blue_Eyes_Crying_In_the_Rain.mp3,60s_H_05,60s,H,5,0.064516129,0.35483871,1.741935484
